大丈夫、大丈夫。	It's okay.
「昨日何時まで起きてたの？」「2時半ぐらい」	"How late did you stay up last night? ""We were up until about 2:30."""
空耳ですよ。	You are hearing things.
幼い少年は彼の犬を抱きしめた。	The little boy embraced his dog.
彼らはもっと一生懸命に働こうと決心した。	They resolved to work harder.
この紙はインクを吸わない。	This paper does not absorb ink.
彼が言ったことは覚えてるよ。	I remember what he said.
彼女は服装にかまわない。	She is careless about the way she dresses.
クーデター計画はぎりぎりのところで阻止されました。	The coup attempt was foiled at the last moment.
彼はまた曖昧な事を言うかも知れない。	He might possibly say something ambiguous again.
犬のために犬小屋を作ったほうがいいよ。	You should build a doghouse for your dog.
化学が嫌いだ。	I hate chemistry.
トムはまだ独身だよ。	Tom is still a bachelor.
私は歌が好きだ。	I like singing.
座りませんか。	Won't you take a chair?
渋滞に巻き込まれなければ、間に合うと思いますよ。	I think we'll get there in time if we don't get caught in a traffic jam.
これ、カッコよくね？	Isn't it cool?
それはやってみた方がいい。	It would be better to try.
その女優は実際よりも若く見える。	The actress looks younger than she really is.
後で電話しても良いですか。	May I call later?
冷蔵庫の中の物は、何でも御自由に召し上がってください。	Please feel free to help yourself to anything in the fridge.
払わせてください。	Let me pay.
飛行機に乗り遅れたくないんだ。	I don't want to miss my flight.
この椅子を修理してもらうのにどれくらいかかるでしょうか。	What would it cost to have this chair repaired?
風邪をひいてるんだ。	I've caught a cold.
彼女は以前どこかで私を見かけたことがあるようだった。	She looked as though she had seen me somewhere before.
サンタさんって何人なの？	How many Santas are there?
ご家族はお元気ですか？	How is your family?
あなたの襟にしみがついています。	Your collar has a stain on it.
少しお腹が空いている。	I'm feeling a bit hungry.
もっと大きい冷蔵庫がほしい。	I want a bigger refrigerator.
ポストをあちこち探し回ったんだよ。	I looked around for a mailbox.
彼らが休暇で不在の間、近所の人たちが犬の世話をしてあげた。	"While they were away on holiday, their neighbours looked after the dog."
息子は来週フランスへ出発します。	My son is going to leave for France next week.
トムは何かがメアリーに起こったかもしれないと心配している。	Tom is worried about what might have happened to Mary.
もう開いてる？	Is it already open?
眠くないんですか。	Aren't you sleepy?
崖からバスは落ちていった。	The bus went over the cliff.
彼女はその本の代金を支払わねばならない。	She has to pay for the book.
トムは勇気がない。	Tom lacks courage.
そのことについて君は間違ってるよ。	I'll bet you that you're wrong about that.
もう５時？	Is it five already?
トムは朝食をササッと済ませた。	Tom had a quick breakfast.
トムは警官だよ。	Tom is a policeman.
近いうちに顔出すよ。	I'll make an appearance soon.
彼は講演を始める前に咳払いをした。	He cleared his throat before starting the lecture.
チーズはナイフで簡単に切れる。	Cheese can easily be cut with a knife.
私は彼と一緒に外出するよりもむしろ家にいたい。	I would rather stay home than go out with him.
卵を焼いてくれ。	Fry me some eggs.
考えさせて下さい。	I want to think about it.
君には怒っていないよ。	I'm not angry with you.
来月引っ越しするんです。	We are moving next month.
トムが死んだなんて信じられない。	I can't believe Tom is dead.
「動くな、全員！」と銀行強盗は叫んだ。	"The bank robber shouted, ""Stay where you are, all of you!"""
よくくしゃみが出ます。	I sneeze a lot.
俺が停学くらってたこと、トムは知ってたんだ。	Tom knew that I had been suspended.
トムはメアリーを避けた。	Tom avoided Mary.
彼女は自信のないときに咳払いをする癖がある。	She has the habit of clearing her throat whenever she's nervous.
使いやすいよ。	It's simple to use.
彼は魚のように泳ぐことができる。	He is able to swim like a fish.
日焼け止め塗った？	Did you put on sunscreen?
彼の名前を後になってやっと思い出した。	I didn't remember his name until afterward.
明日トムは忙しいのかな。	I wonder whether Tom will be busy tomorrow.
トムどうして自殺しちゃったの？	Why did Tom commit suicide?
１１時カッキリに駅に来てください。	Be at the station at eleven on the dot.
今日の数学はいつもより楽しかった。	Today's math class was more interesting than usual.
私が今出来るのは待つことだけだ。	All I can do at the moment is wait.
